date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,pre_total_case,active_case,mco1,cmco,rmco,mco2,mco3,fmco,recover1,public_holiday,high_risk_day,election,election_states
25/1/2020,3,3,,,,,,,,,,0,3,0,0,0,0,0,0,0,1,1,0,0
26/1/2020,4,1,,,,,,,,,,3,4,0,0,0,0,0,0,0,2,1,0,0
27/1/2020,4,0,,,,,,,,,,1,4,0,0,0,0,0,0,0,3,1,0,0
28/1/2020,4,0,,,,,,,,,,0,4,0,0,0,0,0,0,0,4,1,0,0
29/1/2020,7,3,,,,,,,,,,0,7,0,0,0,0,0,0,0,5,1,0,0
30/1/2020,8,1,,,,,,,,,,3,8,0,0,0,0,0,0,0,6,1,0,0
31/1/2020,8,0,,,,,,,,,,1,8,0,0,0,0,0,0,0,7,1,0,0
1/2/2020,8,0,,,,,,,,,,0,8,0,0,0,0,0,0,0,8,1,0,0
2/2/2020,8,0,,,,,,,,,,0,8,0,0,0,0,0,0,0,9,1,0,0
3/2/2020,8,0,,,,,,,,,,0,8,0,0,0,0,0,0,0,10,0,0,0
4/2/2020,10,2,,,,,,,,,,0,10,0,0,0,0,0,0,0,11,0,0,0
5/2/2020,12,2,,,,,,,,,,2,12,0,0,0,0,0,0,0,12,0,0,0
6/2/2020,12,0,,,,,,,,,,2,12,0,0,0,0,0,0,0,13,0,0,0
7/2/2020,12,0,,,,,,,,,,0,12,0,0,0,0,0,0,0,14,0,0,0
8/2/2020,16,4,,,,,,,,,,0,9,0,0,0,0,0,0,0,1,1,0,0
9/2/2020,16,0,,,,,,,,,,4,12,0,0,0,0,0,0,0,2,0,0,0
10/2/2020,18,2,,,,,,,,,,0,12,0,0,0,0,0,0,0,3,0,0,0
11/2/2020,18,0,,,,,,,,,,2,14,0,0,0,0,0,0,0,4,0,0,0
12/2/2020,18,0,,,,,,,,,,0,11,0,0,0,0,0,0,0,5,0,0,0
13/2/2020,19,1,,,,,,,,,,0,10,0,0,0,0,0,0,0,6,0,0,0
14/2/2020,19,0,,,653,,,,,,,1,11,0,0,0,0,0,0,0,7,1,0,0
15/2/2020,22,3,,,,,,,,,,0,11,0,0,0,0,0,0,0,8,0,0,0
16/2/2020,22,0,,,656,,,,,,,3,14,0,0,0,0,0,0,0,9,0,0,0
17/2/2020,22,0,,,757,101,,,,,,0,14,0,0,0,0,0,0,0,10,0,0,0
18/2/2020,22,0,,,797,40,,,,,,0,12,0,0,0,0,0,0,0,11,0,0,0
19/2/2020,22,0,,,,,,,,,,0,10,0,0,0,0,0,0,0,12,0,0,0
20/2/2020,22,0,,,880,,,,,,,0,10,0,0,0,0,0,0,0,13,0,0,0
21/2/2020,22,0,,,968,88,0.01,,,,,0,10,0,0,0,0,0,0,0,14,0,0,0
22/2/2020,22,0,,,,,0,,,,,0,6,0,0,0,0,0,0,0,0,0,0,0
23/2/2020,22,0,,,1028,,0,,,,,0,6,0,0,0,0,0,0,0,0,0,0,0
24/2/2020,22,0,,,1054,26,0,,,,,0,4,0,0,0,0,0,0,0,0,0,0,0
25/2/2020,22,0,,,1067,13,0,,,,,0,4,0,0,0,0,0,0,0,0,0,0,0
26/2/2020,22,0,,,1091,24,0,,,,,0,4,0,0,0,0,0,0,0,0,0,0,0
27/2/2020,23,1,,,1545,454,0.002,,,,,0,3,0,0,0,0,0,0,0,0,0,0,0
28/2/2020,23,0,,,1548,3,0.002,,,,,1,4,0,0,0,0,0,0,0,0,0,0,0
29/2/2020,25,2,,,,,0.005,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0
1/3/2020,29,4,,,,,0.011,,,,,2,3,0,0,0,0,0,0,0,0,0,0,0
2/3/2020,29,0,,,1739,,0.01,,,,,4,7,0,0,0,0,0,0,0,0,0,0,0
3/3/2020,36,7,,,,,0.018,,,,,0,7,0,0,0,0,0,0,0,0,0,0,0
4/3/2020,50,14,,,1983,,0.031,,,,,7,14,0,0,0,0,0,0,0,0,0,0,0
5/3/2020,50,0,,,,,0.046,,,,,14,28,0,0,0,0,0,0,0,0,0,0,0
6/3/2020,83,33,,,,,0.084,,,,,0,28,0,0,0,0,0,0,0,0,0,0,0
7/3/2020,93,10,,,,,0.086,,,,,33,61,0,0,0,0,0,0,0,0,0,0,0
8/3/2020,99,6,,,,,0.081,,,,,10,71,0,0,0,0,0,0,0,0,0,0,0
9/3/2020,117,18,,,2686,,0.093,,,,,6,77,0,0,0,0,0,0,0,0,0,0,0
10/3/2020,129,12,,,,,0.073,,,,,18,95,0,0,0,0,0,0,0,0,0,0,0
11/3/2020,149,20,,,3573,,0.062,,,,,12,107,0,0,0,0,0,0,0,0,0,0,0
12/3/2020,149,0,,,3691,118,0.063,,,,,20,126,0,0,0,0,0,0,0,0,0,0,0
13/3/2020,197,48,,,,,0.056,,,,,0,126,0,0,0,0,0,0,0,0,0,0,0
14/3/2020,238,41,,,4899,,0.058,,,,,48,172,0,0,0,0,0,0,0,0,0,0,0
15/3/2020,428,190,,,,,0.11,,,,,41,209,0,0,0,0,0,0,0,0,0,0,0
16/3/2020,566,138,,,,,0.128,,,,,190,399,0,0,0,0,0,0,0,0,0,0,0
17/3/2020,673,107,2,2,6842,,0.147,,,,,138,530,0,0,0,0,0,0,0,0,0,0,0
18/3/2020,790,117,2,0,,,0.15,,,,,107,623,1,0,0,0,0,0,0,0,0,0,0
19/3/2020,900,110,2,0,8873,,0.145,,,,,117,740,2,0,0,0,0,0,0,0,0,0,0
20/3/2020,1030,130,3,1,10143,1270,0.143,,,,,110,817,3,0,0,0,0,0,0,0,0,0,0
21/3/2020,1183,153,8,5,,,0.163,,,,,130,937,4,0,0,0,0,0,0,0,0,0,0
22/3/2020,1306,123,10,2,11275,,0.153,,,,,153,1084,5,0,0,0,0,0,0,0,0,0,0
23/3/2020,1518,212,14,4,13110,1835,0.138,,,,,123,1189,6,0,0,0,0,0,0,1,1,0,0
24/3/2020,1624,106,16,2,13594,484,0.141,,,,,212,1389,7,0,0,0,0,0,0,2,0,0,0
25/3/2020,1796,172,20,4,15820,2226,0.126,,,,,106,1475,8,0,0,0,0,0,0,3,0,0,0
26/3/2020,2031,235,23,3,16983,1163,0.139,,,,,172,1647,9,0,0,0,0,0,0,4,0,0,0
27/3/2020,2161,130,26,3,24168,7185,0.081,,,,,235,1834,10,0,0,0,0,0,0,5,0,0,0
28/3/2020,2320,159,27,1,29461,5293,0.061,,,,,130,1923,11,0,0,0,0,0,0,6,0,0,0
29/3/2020,2470,150,35,8,,,0.061,,,,,159,1892,12,0,0,0,0,0,0,7,0,0,0
30/3/2020,2626,156,37,2,31206,,0.061,,,,,150,1904,13,0,0,0,0,0,0,8,0,0,0
31/3/2020,2766,140,43,6,32264,1058,0.061,,,,,156,1953,14,0,0,0,0,0,0,9,0,0,0
1/4/2020,2908,142,45,2,35802,3538,0.056,,,,,140,1976,15,0,0,0,0,0,0,10,0,0,0
2/4/2020,3116,208,50,5,37599,1797,0.053,,,,,142,2008,16,0,0,0,0,0,0,11,0,0,0
